
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
TOTAL, Feminin, Regiunea CENTRU, Anul 2010, Mii persoane, 460
TOTAL, Feminin, Regiunea CENTRU, Anul 2011, Mii persoane, 465.1
TOTAL, Feminin, Regiunea CENTRU, Anul 2012, Mii persoane, 474.9
TOTAL, Feminin, Regiunea CENTRU, Anul 2013, Mii persoane, 469.7
TOTAL, Feminin, Alba, Anul 2008, Mii persoane, 80.1
TOTAL, Feminin, Alba, Anul 2009, Mii persoane, 79.7
TOTAL, Feminin, Alba, Anul 2010, Mii persoane, 75.8
TOTAL, Feminin, Alba, Anul 2011, Mii persoane, 77.7
TOTAL, Feminin, Alba, Anul 2012, Mii persoane, 77.1
TOTAL, Feminin, Alba, Anul 2013, Mii persoane, 76.1
TOTAL, Feminin, Brasov, Anul 2008, Mii persoane, 103.9
TOTAL, Feminin, Brasov, Anul 2009, Mii persoane, 99.1
TOTAL, Feminin, Brasov, Anul 2010, Mii persoane, 100.9
TOTAL, Feminin, Brasov, Anul 2011, Mii persoane, 100.7
TOTAL, Feminin, Brasov, Anul 2012, Mii persoane, 103.6
TOTAL, Feminin, Brasov, Anul 2013, Mii persoane, 103.4
TOTAL, Feminin, Covasna, Anul 2008, Mii persoane, 42.6
TOTAL, Feminin, Covasna, Anul 2009, Mii persoane, 42.6
TOTAL, Feminin, Covasna, Anul 2010, Mii persoane, 38.8
TOTAL, Feminin, Covasna, Anul 2011, Mii persoane, 39.6
TOTAL, Feminin, Covasna, Anul 2012, Mii persoane, 40.6
TOTAL, Feminin, Covasna, Anul 2013, Mii persoane, 40
TOTAL, Feminin, Harghita, Anul 2008, Mii persoane, 62.6
TOTAL, Feminin, Harghita, Anul 2009, Mii persoane, 60.9
TOTAL, Feminin, Harghita, Anul 2010, Mii persoane, 59.8
TOTAL, Feminin, Harghita, Anul 2011, Mii persoane, 61.5
TOTAL, Feminin, Harghita, Anul 2012, Mii persoane, 61.9
TOTAL, Feminin, Harghita, Anul 2013, Mii persoane, 60.8
TOTAL, Feminin, Mures, Anul 2008, Mii persoane, 108.3
TOTAL, Feminin, Mures, Anul 2009, Mii persoane, 102.3
TOTAL, Feminin, Mures, Anul 2010, Mii persoane, 103.4
TOTAL, Feminin, Mures, Anul 2011, Mii persoane, 106
TOTAL, Feminin, Mures, Anul 2012, Mii persoane, 107.6
TOTAL, Feminin, Mures, Anul 2013, Mii persoane, 105.2
TOTAL, Feminin, Sibiu, Anul 2008, Mii persoane, 83.8
TOTAL, Feminin, Sibiu, Anul 2009, Mii persoane, 77.6
TOTAL, Feminin, Sibiu, Anul 2010, Mii persoane, 81.3
TOTAL, Feminin, Sibiu, Anul 2011, Mii persoane, 79.6
TOTAL, Feminin, Sibiu, Anul 2012, Mii persoane, 84.1
TOTAL, Feminin, Sibiu, Anul 2013, Mii persoane, 84.2
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 1061.8
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2009, Mii persoane, 1044.1
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2010, Mii persoane, 1036.8
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2011, Mii persoane, 1040.8
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2012, Mii persoane, 1067.2
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2013, Mii persoane, 1042.6
TOTAL, Feminin, Regiunea NORD-EST, Anul 2008, Mii persoane, 585.4
TOTAL, Feminin, Regiunea NORD-EST, Anul 2009, Mii persoane, 577.8
TOTAL, Feminin, Regiunea NORD-EST, Anul 2010, Mii persoane, 574.7
TOTAL, Feminin, Regiunea NORD-EST, Anul 2011, Mii persoane, 579.7
TOTAL, Feminin, Regiunea NORD-EST, Anul 2012, Mii persoane, 590.5
TOTAL, Feminin, Regiunea NORD-EST, Anul 2013, Mii persoane, 575.8
TOTAL, Feminin, Bacau, Anul 2008, Mii persoane, 97.8
TOTAL, Feminin, Bacau, Anul 2009, Mii persoane, 97
TOTAL, Feminin, Bacau, Anul 2010, Mii persoane, 94.2
TOTAL, Feminin, Bacau, Anul 2011, Mii persoane, 93.9
TOTAL, Feminin, Bacau, Anul 2012, Mii persoane, 96
TOTAL, Feminin, Bacau, Anul 2013, Mii persoane, 93.8
TOTAL, Feminin, Botosani, Anul 2008, Mii persoane, 72.9
TOTAL, Feminin, Botosani, Anul 2009, Mii persoane, 73.4
TOTAL, Feminin, Botosani, Anul 2010, Mii persoane, 74.8
TOTAL, Feminin, Botosani, Anul 2011, Mii persoane, 75.1
TOTAL, Feminin, Botosani, Anul 2012, Mii persoane, 77.2
TOTAL, Feminin, Botosani, Anul 2013, Mii persoane, 76.1
TOTAL, Feminin, Iasi, Anul 2008, Mii persoane, 135.6
TOTAL, Feminin, Iasi, Anul 2009, Mii persoane, 132.5
TOTAL, Feminin, Iasi, Anul 2010, Mii persoane, 131.8
TOTAL, Feminin, Iasi, Anul 2011, Mii persoane, 133.8
TOTAL, Feminin, Iasi, Anul 2012, Mii persoane, 134.7
TOTAL, Feminin, Iasi, Anul 2013, Mii persoane, 135.4
TOTAL, Feminin, Neamt, Anul 2008, Mii persoane, 90.1
TOTAL, Feminin, Neamt, Anul 2009, Mii persoane, 91.7
TOTAL, Feminin, Neamt, Anul 2010, Mii persoane, 91.7
TOTAL, Feminin, Neamt, Anul 2011, Mii persoane, 89.8
TOTAL, Feminin, Neamt, Anul 2012, Mii persoane, 92.8
TOTAL, Feminin, Neamt, Anul 2013, Mii persoane, 89.7
TOTAL, Feminin, Suceava, Anul 2008, Mii persoane, 115.9
TOTAL, Feminin, Suceava, Anul 2009, Mii persoane, 112.3
TOTAL, Feminin, Suceava, Anul 2010, Mii persoane, 110.2
TOTAL, Feminin, Suceava, Anul 2011, Mii persoane, 114.9
TOTAL, Feminin, Suceava, Anul 2012, Mii persoane, 116.1
TOTAL, Feminin, Suceava, Anul 2013, Mii persoane, 110.2
TOTAL, Feminin, Vaslui, Anul 2008, Mii persoane, 73.1
TOTAL, Feminin, Vaslui, Anul 2009, Mii persoane, 70.9
TOTAL, Feminin, Vaslui, Anul 2010, Mii persoane, 72
TOTAL, Feminin, Vaslui, Anul 2011, Mii persoane, 72.2
TOTAL, Feminin, Vaslui, Anul 2012, Mii persoane, 73.7
TOTAL, Feminin, Vaslui, Anul 2013, Mii persoane, 70.6
TOTAL, Feminin, Regiunea SUD-EST, Anul 2008, Mii persoane, 476.4
TOTAL, Feminin, Regiunea SUD-EST, Anul 2009, Mii persoane, 466.3
TOTAL, Feminin, Regiunea SUD-EST, Anul 2010, Mii persoane, 462.1
TOTAL, Feminin, Regiunea SUD-EST, Anul 2011, Mii persoane, 461.1
TOTAL, Feminin, Regiunea SUD-EST, Anul 2012, Mii persoane, 476.7
TOTAL, Feminin, Regiunea SUD-EST, Anul 2013, Mii persoane, 466.8
TOTAL, Feminin, Braila, Anul 2008, Mii persoane, 61.1
TOTAL, Feminin, Braila, Anul 2009, Mii persoane, 60.4
TOTAL, Feminin, Braila, Anul 2010, Mii persoane, 57.3
TOTAL, Feminin, Braila, Anul 2011, Mii persoane, 58
TOTAL, Feminin, Braila, Anul 2012, Mii persoane, 57.8
TOTAL, Feminin, Braila, Anul 2013, Mii persoane, 57.7
TOTAL, Feminin, Buzau, Anul 2008, Mii persoane, 84.6
TOTAL, Feminin, Buzau, Anul 2009, Mii persoane, 83.6
TOTAL, Feminin, Buzau, Anul 2010, Mii persoane, 82.9
TOTAL, Feminin, Buzau, Anul 2011, Mii persoane, 83.3
TOTAL, Feminin, Buzau, Anul 2012, Mii persoane, 87.1
TOTAL, Feminin, Buzau, Anul 2013, Mii persoane, 84.1
TOTAL, Feminin, Constanta, Anul 2008, Mii persoane, 128.5
TOTAL, Feminin, Constanta, Anul 2009, Mii persoane, 124.2
TOTAL, Feminin, Constanta, Anul 2010, Mii persoane, 128
TOTAL, Feminin, Constanta, Anul 2011, Mii persoane, 125.8
TOTAL, Feminin, Constanta, Anul 2012, Mii persoane, 131.4
TOTAL, Feminin, Constanta, Anul 2013, Mii persoane, 128.7
TOTAL, Feminin, Galati, Anul 2008, Mii persoane, 90.7
TOTAL, Feminin, Galati, Anul 2009, Mii persoane, 88.8
TOTAL, Feminin, Galati, Anul 2010, Mii persoane, 85.4
TOTAL, Feminin, Galati, Anul 2011, Mii persoane, 85.4
TOTAL, Feminin, Galati, Anul 2012, Mii persoane, 87.9
TOTAL, Feminin, Galati, Anul 2013, Mii persoane, 86.9
TOTAL, Feminin, Tulcea, Anul 2008, Mii persoane, 41
TOTAL, Feminin, Tulcea, Anul 2009, Mii persoane, 40
TOTAL, Feminin, Tulcea, Anul 2010, Mii persoane, 37.7
TOTAL, Feminin, Tulcea, Anul 2011, Mii persoane, 37.5
TOTAL, Feminin, Tulcea, Anul 2012, Mii persoane, 39.1
TOTAL, Feminin, Tulcea, Anul 2013, Mii persoane, 39.8
TOTAL, Feminin, Vrancea, Anul 2008, Mii persoane, 70.5
TOTAL, Feminin, Vrancea, Anul 2009, Mii persoane, 69.3
TOTAL, Feminin, Vrancea, Anul 2010, Mii persoane, 70.8
TOTAL, Feminin, Vrancea, Anul 2011, Mii persoane, 71.1
TOTAL, Feminin, Vrancea, Anul 2012, Mii persoane, 73.4
TOTAL, Feminin, Vrancea, Anul 2013, Mii persoane, 69.6
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 1159.2
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 1133.7
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 1142
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 1148.7
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 1159.3
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 1167.1
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 552.3
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2009, Mii persoane, 550.6
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2010, Mii persoane, 538.4
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2011, Mii persoane, 546.7
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2012, Mii persoane, 553.9
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2013, Mii persoane, 544.7
TOTAL, Feminin, Arges, Anul 2008, Mii persoane, 120.4
TOTAL, Feminin, Arges, Anul 2009, Mii persoane, 116.2
TOTAL, Feminin, Arges, Anul 2010, Mii persoane, 114.5
TOTAL, Feminin, Arges, Anul 2011, Mii persoane, 116.4
TOTAL, Feminin, Arges, Anul 2012, Mii persoane, 118.9
TOTAL, Feminin, Arges, Anul 2013, Mii persoane, 116.6
TOTAL, Feminin, Calarasi, Anul 2008, Mii persoane, 51
TOTAL, Feminin, Calarasi, Anul 2009, Mii persoane, 50.3
TOTAL, Feminin, Calarasi, Anul 2010, Mii persoane, 50
TOTAL, Feminin, Calarasi, Anul 2011, Mii persoane, 50.6
TOTAL, Feminin, Calarasi, Anul 2012, Mii persoane, 51.5
TOTAL, Feminin, Calarasi, Anul 2013, Mii persoane, 50.6
TOTAL, Feminin, Dambovita, Anul 2008, Mii persoane, 86.6
TOTAL, Feminin, Dambovita, Anul 2009, Mii persoane, 87.4
TOTAL, Feminin, Dambovita, Anul 2010, Mii persoane, 85.2
TOTAL, Feminin, Dambovita, Anul 2011, Mii persoane, 85.7
TOTAL, Feminin, Dambovita, Anul 2012, Mii persoane, 85.6
TOTAL, Feminin, Dambovita, Anul 2013, Mii persoane, 84.4
TOTAL, Feminin, Giurgiu, Anul 2008, Mii persoane, 41.7
TOTAL, Feminin, Giurgiu, Anul 2009, Mii persoane, 43
TOTAL, Feminin, Giurgiu, Anul 2010, Mii persoane, 42
TOTAL, Feminin, Giurgiu, Anul 2011, Mii persoane, 43.1
TOTAL, Feminin, Giurgiu, Anul 2012, Mii persoane, 44.6
TOTAL, Feminin, Giurgiu, Anul 2013, Mii persoane, 42.5
TOTAL, Feminin, Ialomita, Anul 2008, Mii persoane, 47.3
TOTAL, Feminin, Ialomita, Anul 2009, Mii persoane, 48.4
TOTAL, Feminin, Ialomita, Anul 2010, Mii persoane, 47
TOTAL, Feminin, Ialomita, Anul 2011, Mii persoane, 48.1
TOTAL, Feminin, Ialomita, Anul 2012, Mii persoane, 48.9
TOTAL, Feminin, Ialomita, Anul 2013, Mii persoane, 47.4
TOTAL, Feminin, Prahova, Anul 2008, Mii persoane, 129.7
TOTAL, Feminin, Prahova, Anul 2009, Mii persoane, 127.4
TOTAL, Feminin, Prahova, Anul 2010, Mii persoane, 123.9
TOTAL, Feminin, Prahova, Anul 2011, Mii persoane, 124.7
TOTAL, Feminin, Prahova, Anul 2012, Mii persoane, 124.2
TOTAL, Feminin, Prahova, Anul 2013, Mii persoane, 127.8
TOTAL, Feminin, Teleorman, Anul 2008, Mii persoane, 75.6
TOTAL, Feminin, Teleorman, Anul 2009, Mii persoane, 77.9
TOTAL, Feminin, Teleorman, Anul 2010, Mii persoane, 75.8
TOTAL, Feminin, Teleorman, Anul 2011, Mii persoane, 78.1
TOTAL, Feminin, Teleorman, Anul 2012, Mii persoane, 80.2
TOTAL, Feminin, Teleorman, Anul 2013, Mii persoane, 75.4
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2008, Mii persoane, 606.9
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2009, Mii persoane, 583.1
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2010, Mii persoane, 603.6
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2011, Mii persoane, 602
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2012, Mii persoane, 605.4
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2013, Mii persoane, 622.4
TOTAL, Feminin, Ilfov, Anul 2008, Mii persoane, 69.6
TOTAL, Feminin, Ilfov, Anul 2009, Mii persoane, 72.3
TOTAL, Feminin, Ilfov, Anul 2010, Mii persoane, 72.7
TOTAL, Feminin, Ilfov, Anul 2011, Mii persoane, 72.4
TOTAL, Feminin, Ilfov, Anul 2012, Mii persoane, 75.6
TOTAL, Feminin, Ilfov, Anul 2013, Mii persoane, 74.3
TOTAL, Feminin, Municipiul Bucuresti, Anul 2008, Mii persoane, 537.3
TOTAL, Feminin, Municipiul Bucuresti, Anul 2009, Mii persoane, 510.8
TOTAL, Feminin, Municipiul Bucuresti, Anul 2010, Mii persoane, 530.9
TOTAL, Feminin, Municipiul Bucuresti, Anul 2011, Mii persoane, 529.6
TOTAL, Feminin, Municipiul Bucuresti, Anul 2012, Mii persoane, 529.8
TOTAL, Feminin, Municipiul Bucuresti, Anul 2013, Mii persoane, 548.1
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2008, Mii persoane, 785.9
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2009, Mii persoane, 771.8
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2010, Mii persoane, 761.4
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2011, Mii persoane, 771.6
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2012, Mii persoane, 791.1
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2013, Mii persoane, 774.2
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2008, Mii persoane, 397.3
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2009, Mii persoane, 395.6
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2010, Mii persoane, 387.8
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2011, Mii persoane, 395
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2012, Mii persoane, 404.7
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2013, Mii persoane, 393.1
TOTAL, Feminin, Dolj, Anul 2008, Mii persoane, 127
TOTAL, Feminin, Dolj, Anul 2009, Mii persoane, 127.3
TOTAL, Feminin, Dolj, Anul 2010, Mii persoane, 126.7
TOTAL, Feminin, Dolj, Anul 2011, Mii persoane, 125.3
TOTAL, Feminin, Dolj, Anul 2012, Mii persoane, 128.7
TOTAL, Feminin, Dolj, Anul 2013, Mii persoane, 125.4
TOTAL, Feminin, Gorj, Anul 2008, Mii persoane, 62.7
TOTAL, Feminin, Gorj, Anul 2009, Mii persoane, 62.2
TOTAL, Feminin, Gorj, Anul 2010, Mii persoane, 58.3
TOTAL, Feminin, Gorj, Anul 2011, Mii persoane, 61.2
TOTAL, Feminin, Gorj, Anul 2012, Mii persoane, 61
TOTAL, Feminin, Gorj, Anul 2013, Mii persoane, 60.9
TOTAL, Feminin, Mehedinti, Anul 2008, Mii persoane, 52.3
TOTAL, Feminin, Mehedinti, Anul 2009, Mii persoane, 52.3
TOTAL, Feminin, Mehedinti, Anul 2010, Mii persoane, 50.6
TOTAL, Feminin, Mehedinti, Anul 2011, Mii persoane, 51.3
TOTAL, Feminin, Mehedinti, Anul 2012, Mii persoane, 52.8
TOTAL, Feminin, Mehedinti, Anul 2013, Mii persoane, 51
TOTAL, Feminin, Olt, Anul 2008, Mii persoane, 79.4
TOTAL, Feminin, Olt, Anul 2009, Mii persoane, 78
TOTAL, Feminin, Olt, Anul 2010, Mii persoane, 77.3
TOTAL, Feminin, Olt, Anul 2011, Mii persoane, 81.1
TOTAL, Feminin, Olt, Anul 2012, Mii persoane, 82.3
TOTAL, Feminin, Olt, Anul 2013, Mii persoane, 81
TOTAL, Feminin, Valcea, Anul 2008, Mii persoane, 75.9
TOTAL, Feminin, Valcea, Anul 2009, Mii persoane, 75.8
TOTAL, Feminin, Valcea, Anul 2010, Mii persoane, 74.9
TOTAL, Feminin, Valcea, Anul 2011, Mii persoane, 76.1
TOTAL, Feminin, Valcea, Anul 2012, Mii persoane, 79.9
TOTAL, Feminin, Valcea, Anul 2013, Mii persoane, 74.8
TOTAL, Feminin, Regiunea VEST, Anul 2008, Mii persoane, 388.6
TOTAL, Feminin, Regiunea VEST, Anul 2009, Mii persoane, 376.2
TOTAL, Feminin, Regiunea VEST, Anul 2010, Mii persoane, 373.6
TOTAL, Feminin, Regiunea VEST, Anul 2011, Mii persoane, 376.6
TOTAL, Feminin, Regiunea VEST, Anul 2012, Mii persoane, 386.4
TOTAL, Feminin, Regiunea VEST, Anul 2013, Mii persoane, 381.1
TOTAL, Feminin, Arad, Anul 2008, Mii persoane, 92.4
TOTAL, Feminin, Arad, Anul 2009, Mii persoane, 93.9
TOTAL, Feminin, Arad, Anul 2010, Mii persoane, 94.7
TOTAL, Feminin, Arad, Anul 2011, Mii persoane, 96.8
TOTAL, Feminin, Arad, Anul 2012, Mii persoane, 98.6
TOTAL, Feminin, Arad, Anul 2013, Mii persoane, 97
TOTAL, Feminin, Caras-Severin, Anul 2008, Mii persoane, 54.4
TOTAL, Feminin, Caras-Severin, Anul 2009, Mii persoane, 54
TOTAL, Feminin, Caras-Severin, Anul 2010, Mii persoane, 51.6
TOTAL, Feminin, Caras-Severin, Anul 2011, Mii persoane, 50.7
TOTAL, Feminin, Caras-Severin, Anul 2012, Mii persoane, 51.4
TOTAL, Feminin, Caras-Severin, Anul 2013, Mii persoane, 50.9
TOTAL, Feminin, Hunedoara, Anul 2008, Mii persoane, 86.6
TOTAL, Feminin, Hunedoara, Anul 2009, Mii persoane, 83.4
TOTAL, Feminin, Hunedoara, Anul 2010, Mii persoane, 85.1
TOTAL, Feminin, Hunedoara, Anul 2011, Mii persoane, 82.9
TOTAL, Feminin, Hunedoara, Anul 2012, Mii persoane, 85.5
TOTAL, Feminin, Hunedoara, Anul 2013, Mii persoane, 83.1
TOTAL, Feminin, Timis, Anul 2008, Mii persoane, 155.2
TOTAL, Feminin, Timis, Anul 2009, Mii persoane, 144.9
TOTAL, Feminin, Timis, Anul 2010, Mii persoane, 142.2
TOTAL, Feminin, Timis, Anul 2011, Mii persoane, 146.2
TOTAL, Feminin, Timis, Anul 2012, Mii persoane, 150.9
TOTAL, Feminin, Timis, Anul 2013, Mii persoane, 150.1
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2008, Mii persoane, 2407.4
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2009, Mii persoane, 2410.7
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2010, Mii persoane, 2439.9
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2011, Mii persoane, 2442
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2012, Mii persoane, 2510
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2013, Mii persoane, 2380.1
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 604.5
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 606
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 606.1
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 611.5
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 628.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 596.2
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2008, Mii persoane, 362.9
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2009, Mii persoane, 363.1
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2010, Mii persoane, 364
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2011, Mii persoane, 367.5
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2012, Mii persoane, 377.3
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2013, Mii persoane, 358
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2008, Mii persoane, 85.3
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2009, Mii persoane, 85.7
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2010, Mii persoane, 87.9
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2011, Mii persoane, 86.6
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2012, Mii persoane, 88.7
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2013, Mii persoane, 84.3
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2008, Mii persoane, 43.1
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2009, Mii persoane, 43.3
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2010, Mii persoane, 42.5
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2011, Mii persoane, 43.3
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2012, Mii persoane, 44.7
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2013, Mii persoane, 42.3
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2008, Mii persoane, 72.3
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2009, Mii persoane, 71.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2010, Mii persoane, 71.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2011, Mii persoane, 72.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2012, Mii persoane, 74.7
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2013, Mii persoane, 71.1
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2008, Mii persoane, 72.6
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2009, Mii persoane, 72.5
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2010, Mii persoane, 72.5
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2011, Mii persoane, 73.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2012, Mii persoane, 75.9
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2013, Mii persoane, 71.7
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2008, Mii persoane, 54.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2009, Mii persoane, 55
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2010, Mii persoane, 54.9
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2011, Mii persoane, 55.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2012, Mii persoane, 57.2
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2013, Mii persoane, 54.2
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2008, Mii persoane, 34.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2009, Mii persoane, 34.8
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2010, Mii persoane, 34.4
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2011, Mii persoane, 35.2
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2012, Mii persoane, 36.1
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2013, Mii persoane, 34.4
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2008, Mii persoane, 241.6
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2009, Mii persoane, 242.9
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2010, Mii persoane, 242.1
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2011, Mii persoane, 244
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2012, Mii persoane, 251.5
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2013, Mii persoane, 238.2
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2008, Mii persoane, 49.5
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2009, Mii persoane, 49.7
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2010, Mii persoane, 48.2
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2011, Mii persoane, 48.5
